au_wi_sc,aug_wil_schlegel
bru_ba,bruno_bauer
ed_v_we,edg_westph
fr_go_we,fried_gott_welck
he_ro,heinr_rosb
ed_ga,ed_gans
ed ga,ed_gans
fr_ju_st,fried_jul_stahl
fr_ka_v_sa,fried_carl_sav
ge_wi_he,georg_hegel
lu_fe,ludw_feuerb
an_go,and_gott
er_dr,ernst_dron
fr_en,fried_eng
ge_we,geo_weer
je_v_we,jenny_marx
mo_he,mos_hess
wi_wo,wilh_wolff
je_ma_to,jenny_long
ju_fr,carl_ferd_jul_froeb
ka_lu_be,karl_lud_bern
lo_bl,louis_blanc
mi_al_ba,mak_bak
pa_an,pav_anne
pi_jo_pr,proudhon
ar_ru,arnold_ruge
em_he,emma_herw
ge_he,geo_her
ge_mae,ger_mau
he_boe,hen_boer
he_he,heinr_heine
je_ma,jenny_marx
